rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,attr-depend-on-normalage,sex,blood-pressure,native_country,marital,age-Australia-pyramidal
rec-0009-dup-0,,shandr:l,mccarghy,26q4,briabane,07 6369 8597,4716 5878 5207 3306,6642.13,49,59345.6,22,42,f,74.034,united state of america,Single,16
rec-0009-dup-1,female,jhandril,mccarty,2614,brisbne,,4716 5878 5207 306,6642.13,49,59345.6,22,42,f,74.034,united state of america,Single,16
rec-0009-org,female,shandril,mccarthy,2614,brisbane,07 6369 8597,4716 5878 5207 3306,6642.13,49,59345.6,22,42,f,74.034,united state of america,Single,16
rec-0010-dup-0,female,isapella,budt,2615,canbeahra,07 8501 0767,4024 071 7198 3058,40743.51,25,165760.9,7,22,f,75.499,Australia,Married,38
rec-0010-org,female,isabella,butt,2615,canberra,07 8501 0767,4024 0071 7198 3058,40743.51,25,165760.9,78,22,f,75.499,Australia,Married,38
rec-0011-org,male,amy,sherriff,2913,melbourne,02 2571 3650,4929 8577 6032 1417,51974.38,96,83533.5,36,54,na,66.484,united state of america,Married,30
rec-0012-dup-0,,kyab,ryan,2602,brixbane,,44864816 4085 9804,14488.86,49,11825.0,25,21,na,75.015,Australia,Single,82
rec-0012-org,female,kyah,ryan,2602,brisbane,04 7357 9668,4486 4816 4085 9804,14488.86,49,11825.0,25,21,na,75.015,Australia,Single,82
rec-0013-org,female,jessica,campbell,2905,melbourne,04 4177 3950,5218 4114 6359 2713,32335.93,87,16780.2,52,50,f,72.975,japan,Widowed,19
rec-0014-dup-0,,destynii,painteah,260q,sydnwy,,5511 4733 3204 1524,67755.71,4,70018.0,40,55,m,77.869,japan,Married,16
rec-0014-org,male,destynii,painter,2601,sydney,07 5623 9342,5511 4733 3204 1524,67755.71,4,70018.0,40,55,m,77.869,japan,Married,16
rec-0015-org,male,india,zawadzki,2614,sydney,04 5252 0304,4532 6976 9510 0943,51780.14,65,42524.8,19,92,m,71.708,united state of america,Divorced,59
rec-0016-org,male,jessica,greep,2905,sydney,08 4952 7749,5299 2786 5038 9373,11135.53,8,75859.1,19,47,na,68.537,Australia,Married,45
rec-0017-org,male,taliah,olechwicz,2615,canberra,08 4974 5901,5367 7863 4086 3653,51782.67,19,176951.0,37,45,f,74.293,India,Divorced,66
rec-0018-dup-0,male,madelin,camppell,2906,melbouahne,,5344 5475 03515 8897,45928.79,32,68724.8,12,68,f,70.617,japan,Married,59
rec-0018-org,male,madeline,campbell,2906,melbourne,08 5509 0923,5344 5475 3515 8897,45928.79,32,68724.8,12,68,f,70.617,japan,Married,59
rec-0019-dup-0,male,xloe,treyer,2615,sydneu,,4556 9882 872 6497,40180.24,64,26175.9,37,46,f,76.213,united state of america,Married,61
rec-0019-dup-1,male,khloe,dreyrr,missing,sydne,07 4386 0383,4556 9882 8723 6497,40180.24,64,26175.9,537,46,f,76.213,united state of america,Married,61
rec-0019-dup-2,male,chl0e,dreher,261t,sydn3y,07 4386 0383,4556 988 8723 6497,40180.24,64,26175.9,37,46,f,76.213,united state of america,Married,61
rec-0019-org,male,chloe,dreyer,2615,sydney,07 4386 0383,4556 9882 8723 6497,40180.24,64,26175.9,37,46,f,76.213,united state of america,Married,61
rec-0020-org,female,taalia,whetstone,2603,sydney,02 6895 0415,4486 9905 9108 4584,343.55,20,89419.1,54,39,f,79.551,united state of america,Married,52
rec-0021-org,female,aaliyah,campbell,2607,sydney,03 3903 2340,5462 1743 5146 2596,66509.32,112,85099.9,65,55,m,67.325,Australia,Divorced,86
rec-0022-dup-0,,elen,duit,261r,melbourne,,3546 8322 9467 1624,40194.55,98,113465.5,75,46,f,71.963,united state of america,Married,4
rec-0022-dup-1,male,ellem,duit,2514,meobourne,,3546 8322 9467 1624,40194.55,98,113465.5,75,46,f,71.963,united state of america,Married,4
rec-0022-org,male,ellen,tuit,2614,melbourne,02 1924 8942,3546 8322 9467 1624,40194.55,98,113465.5,75,46,f,71.963,united state of america,Married,4
rec-0023-org,male,bailee,zilm,2913,melbourne,08 6401 8581,4539 0432 6427 8328,20042.86,89,32435.5,69,40,f,75.337,Australia,Single,26
rec-0024-dup-0,,jacquelije,hnold,2617,melbouene,,5550 2020 7164 5928,45282.71,86,60375.1,65,27,m,79.934,united state of america,Single,33
rec-0024-org,female,jacqueline,honold,2617,melbourne,04 0534 3218,5550 2020 7164 5928,45282.71,86,60375.1,65,27,m,79.934,united state of america,Single,33
rec-0025-org,female,jessica,dixon,2615,perth,03 1775 5150,4505 5103 2820 3633,43978.94,112,34015.6,31,47,na,73.699,Australia,Married,29
rec-0026-dup-0,,amaia,vorrazi,2912,melbourne,,4556 5302 5924 1780,35320.72,7,32554.0,76,25,f,75.633,japan,Married,49
rec-0026-org,female,amaya,vorrasi,2913,melbourne,04 2257 3088,4556 5302 5924 1780,35320.72,7,32554.0,76,25,f,75.633,japan,Married,49
rec-0027-org,female,brooke,spark,2903,sydney,02 6737 2182,5183 5971 3518 9168,43993.14,47,60894.3,105,34,f,66.971,Australia,Single,68
rec-0028-dup-0,male,dyamond,white,26o7,melborne,,4486  3246 8628 9058,59120.54,110,20868.7,37,54,m,71.435,Australia,Married,72
rec-0028-org,male,diamond,white,2607,melbourne,07 6499 3941,4486 3246 8628 9058,59120.54,110,20868.7,37,54,m,71.435,Australia,Married,72
rec-0029-org,male,jessica,stanley,2615,canberra,03 1642 8284,4716 7276 3418 0124,35587.82,116,31116.6,55,85,m,75.164,Australia,Divorced,38
rec-0030-org,male,sophie,paitaridis,2913,melbourne,07 0349 0134,4929 5535 5031 6614,75524.12,84,39226.9,80,80,f,69.112,India,Married,71
rec-0031-dup-0,,kqelin,ismakic,2905,melborne,,5540 6677 006 6854,47940.58,62,26004.3,71,48,m,73.639,India,Divorced,56
rec-0031-org,male,keelin,ismakic,2905,melbourne,08 6594 5141,5540 6677 6006 6854,47940.58,62,26004.3,71,48,m,73.639,India,Divorced,56
rec-0032-org,female,lucy,musolino,2902,brisbane,07 5535 1886,4486 4007 5440 6947,64651.88,81,89717.1,87,19,m,76.058,Australia,Single,25
rec-0033-dup-0,,naomy,mcglrr,2902,perth,07 7100 8859,5130 0590 004 0228,61178.79,73,115831.0,42,78,na,73.427,united state of america,Married,62
rec-0033-org,male,naomi,mcgirr,2902,perth,07 7100 8859,5130 0590 0004 0228,61178.79,73,115831.0,24,78,na,73.427,united state of america,Married,62
rec-0034-org,male,ysobel,tomadini,2611,canberra,04 3063 6047,4556 7984 9713 1549,14583.11,21,80233.3,47,39,f,76.705,Australia,Single,93
rec-0035-dup-0,,rwuby,shepherd,2601,brisban,02 3478 3310,3563 065 9413 9065,69836.25,66,80720.6,76,46,f,74.014,Australia,Married,83
rec-0035-dup-1,female,rub,shepherd,2692,briwbane,,3563 005 9413 9065,69836.25,66,80720.6,76,46,f,74.014,Australia,Married,83
rec-0035-org,female,ruby,shepherd,2602,brisbane,02 3478 3310,3563 0065 9413 9065,69836.25,66,80720.6,76,46,f,74.014,Australia,Married,83
rec-0036-dup-0,male,sylv:e,nguyeri,missing,sydney,,5573 0460 816 9676,46023.04,78,26006.4,94,37,m,69.901,united state of america,Married,17
rec-0036-dup-1,male,zylvie,nkuyen,290t,stydney,,5573 0460 8162 9676,46023.04,78,26006.4,94,37,m,69.901,united state of america,Married,17
rec-0036-dup-2,,sylvi,nkuyen,2995,sydney,,5573 0460 8162 9676,46023.04,78,26006.4,94,37,m,69.901,united state of america,Married,17
rec-0036-org,male,sylvie,nguyen,2905,sydney,02 2435 7121,5573 0460 8162 9676,46023.04,78,26006.4,94,37,m,69.901,united state of america,Married,17
rec-0037-org,male,olivia,reid,2615,melbourne,08 9979 1704,6011 2904 4961 8439,68721.78,88,87081.7,32,51,m,77.175,Australia,Divorced,19
rec-0038-dup-0,,tileah,stockall,2697,sydneh,04 7303 7858,4929 4417 2818 27193,57069.45,96,60446.9,11,35,na,71.693,India,Single,2
rec-0038-dup-1,,teiieah,sdockall,missing,jydney,04 7303 7858,4929 4417 2818 2193,57069.45,96,60446.9,11,35,na,71.693,India,Single,2
rec-0038-dup-2,,temleah,stockall,260y,sydney,,4929 4417 2818 2193,57069.45,96,60446.9,1,35,na,71.693,India,Single,2
rec-0038-org,female,teileah,stockall,2607,sydney,04 7303 7858,4929 4417 2818 2193,57069.45,96,60446.9,11,35,na,71.693,India,Single,2
rec-0039-org,female,nicole,badger,2614,perth,07 0306 7145,5536 0669 5127 2650,56746.78,41,95409.5,97,15,na,83.715,japan,Single,16
rec-0040-org,male,georgia,coleman,2606,melbourne,03 1287 3097,6011 5087 1363 9868,67605.88,50,185163.9,35,47,f,76.118,Australia,Married,18
rec-0041-org,female,caitlin,jolly,2906,sydney,08 7401 3290,4556 7461 2031 8991,56682.72,112,69514.3,68,55,na,79.410,japan,Widowed,62
rec-0042-dup-0,,matelyn,eaver,2y15,brisbane,,4539 5682 1283 3352,68349.86,80,47365.5,107,44,m,81.224,united state of america,Divorced,36
rec-0042-dup-1,female,matelyn,weavrr,2615,,,4539 5682 1283 3352,68349.86,80,47365.5,07,44,m,81.224,united state of america,Divorced,36
rec-0042-org,female,madelyn,weaver,2615,brisbane,07 1710 3066,4539 5682 1283 3352,68349.86,80,47365.5,107,44,m,81.224,united state of america,Divorced,36
rec-0043-dup-0,,alijon,zolly,2907,melbourne,,6011 1320 1831 9587,68650.70,32,39912.6,26,26,na,73.320,Australia,Single,28
rec-0043-dup-1,,alis0n,joloy,missing,melborne,04 0050 5070,6011 1320 1831 9587,68650.70,32,39912.6,26,26,na,73.320,Australia,Single,28
rec-0043-org,male,alison,jolly,2906,melbourne,04 0050 5070,6011 1320 1831 9587,68650.70,32,39912.6,26,26,na,73.320,Australia,Single,28
rec-0044-dup-0,male,teakan,godfry,2692,melbojrne,,4716 9423 4500 1861,49864.89,35,14753.3,19,38,na,80.940,Australia,Married,85
rec-0044-org,male,teagan,godfrey,2602,melbourne,04 9269 9012,4716 9423 4500 1861,49864.89,35,14753.3,19,38,na,80.940,Australia,Married,85
rec-0045-dup-0,male,jostelyn,karlsem,2913,perth,,5594 12509 7155 5889,17076.39,45,97006.1,2,86,m,71.552,japan,Widowed,61
rec-0045-org,male,joselyn,karlsen,2913,perth,08 4695 9357,5594 1259 7155 5889,17076.39,45,97006.1,62,86,m,71.552,japan,Widowed,61
rec-0046-dup-0,,kaitlin,shepheahd,2605,canberra,,6011 6022 988 0015,33510.78,49,92714.9,31,57,f,75.405,united state of america,Married,71
rec-0046-org,male,caitlin,shepherd,2605,canberra,02 1262 5138,6011 6022 2988 0015,33510.78,49,92714.9,31,57,f,75.405,united state of america,Married,71
rec-0047-dup-0,male,tayna,berry,2905,stydney,04 2133 9489,4084 9753 97005 1066,13292.60,68,63197.8,14,86,f,75.909,Australia,Married,8
rec-0047-org,male,dayna,berry,2906,sydney,04 2133 9489,4084 9753 7005 1066,13292.60,68,63197.8,34,86,f,75.909,Australia,Married,8
rec-0048-org,male,amelia,clarke,2615,perth,04 2556 5935,5180 8760 0694 9295,79008.21,104,66725.7,37,58,m,71.723,Australia,Single,30
rec-0049-dup-0,female,jali,nysden,missing,sydney,,6011 6079 451 9790,50185.64,17,15697.5,103,51,f,76.929,united state of america,Married,57
rec-0049-org,female,zali,nysten,2615,sydney,04 5519 5730,6011 6079 4517 9790,50185.64,17,15697.5,103,51,f,76.929,united state of america,Married,57
rec-0050-org,male,serena,hugelmann,2903,melbourne,07 4689 6178,3548 2792 1232 4241,18858.79,39,25807.5,37,46,m,75.381,Australia,Married,42
rec-0051-org,male,macy,harrity,2614,sydney,03 0196 8117,4532 7956 3890 8842,33101.56,103,29550.4,70,52,na,72.561,japan,Widowed,52
rec-0052-dup-0,,ckeelin,ryam,26p4,melbourne,07 5082 4427,4556 7951 1487 46196,42308.62,26,125317.1,37,45,f,77.871,japan,Married,59
rec-0052-dup-1,,ckeelin,ryan,missing,melboufne,07 5082 4427,4556 7951 148 4196,42308.62,26,125317.1,37,45,f,77.871,japan,Married,59
rec-0052-org,female,keelin,ryan,2604,melbourne,07 5082 4427,4556 7951 1487 4196,42308.62,26,125317.1,37,45,f,77.871,japan,Married,59
rec-0053-dup-0,,jordan,kreen,2612,perth,,5246 2366 73557 7170,41608.81,105,155803.2,159,106,f,75.999,united state of america,Married,38
rec-0053-dup-1,female,sordan,grin,261w,perth,07 6274 7948,5246 2366 757 7170,41608.81,105,155803.2,1,106,f,75.999,united state of america,Married,38
rec-0053-org,female,jordan,green,2612,perth,07 6274 7948,5246 2366 7357 7170,41608.81,105,155803.2,19,106,f,75.999,united state of america,Married,38
rec-0054-org,male,natalia,reni,2617,perth,07 1467 9225,4520 8163 2143 8196,13204.94,36,51631.9,70,52,f,86.093,Australia,Married,1
rec-0055-org,male,isabella,berry,2604,melbourne,02 3520 1136,5281 6244 8878 6407,41649.07,66,144338.9,103,33,f,73.729,Australia,Married,86
rec-0056-org,male,juliana,beattie,2602,canberra,04 7595 9311,4532 9111 6799 8340,68998.73,71,103129.4,93,43,f,71.263,Australia,Married,43
rec-0057-org,male,georgia,heathfield,2602,perth,02 3744 7759,5364 5329 6375 6219,48780.82,36,63197.7,101,16,na,82.265,Australia,Single,51
rec-0058-dup-0,male,micael,kapkan,2902,syfney,,4716 3047 4000 5452,54105.77,75,51478.1,22,58,f,68.322,Australia,Married,38
rec-0058-dup-1,male,mikaela,kaplsn,2902,sydhey,,4716 3047 4000 5452,54105.77,75,51478.1,5,58,f,68.322,Australia,Married,38
rec-0058-org,male,micaela,kaplan,2902,sydney,07 0196 2921,4716 3047 4000 5452,54105.77,75,51478.1,52,58,f,68.322,Australia,Married,38
rec-0059-org,male,ella,hislop,2617,sydney,07 7795 7238,4539 8751 3625 8883,60618.36,119,93364.9,57,80,m,75.516,Australia,Married,11
rec-0060-org,male,madison,menzies,2615,sydney,04 7377 6410,4486 7913 0453 2871,30038.30,99,43032.7,21,22,f,75.699,united state of america,Single,48
rec-0061-dup-0,female,sarah,adra8n,261y,sydnry,,5458 32399 1527 6892,86008.02,41,126746.7,25,68,f,77.941,japan,Widowed,72
rec-0061-dup-1,female,sarab,atrain,2617,sydney,,5458 329 1527 6892,86008.02,41,126746.7,225,68,f,77.941,japan,Widowed,72
rec-0061-org,female,sarah,adrain,2617,sydney,07 6826 7231,5458 3299 1527 6892,86008.02,41,126746.7,25,68,f,77.941,japan,Widowed,72
rec-0062-org,male,nasyah,wardle,2902,melbourne,08 4175 0200,5293 0217 8947 0656,36041.78,8,64487.1,26,49,m,66.957,united state of america,Divorced,64
rec-0063-org,male,isabella,shih,2903,canberra,03 4323 9579,4486 1608 0366 8216,62990.50,37,38241.0,63,59,m,84.944,united state of america,Married,54
rec-0064-org,male,madison,mason,2611,melbourne,03 2440 5843,5340 6934 5388 7366,39158.38,74,88598.4,36,40,f,80.863,united state of america,Married,28
rec-0065-dup-0,male,danielle,jolli,missing,pertg,,6011 2359 4151 1244,27681.55,94,69147.6,530,20,m,73.024,Australia,Single,7
rec-0065-org,male,danielle,jolly,2605,perth,04 5396 5259,6011 2359 4151 1244,27681.55,94,69147.6,53,20,m,73.024,Australia,Single,7
rec-0066-org,male,tarnee,bullivant,2906,melbourne,03 0919 8019,4532 9836 2830 2271,48409.53,86,126803.3,96,33,na,71.434,Australia,Married,53
rec-0067-org,male,elizabeth,koschelew,2611,melbourne,03 5310 5017,6011 7180 9640 2178,20671.35,86,65449.9,110,65,m,71.435,japan,Divorced,8
rec-0068-dup-0,female,jenna,gasckin,2615,prisbane,,4024 0071 874 4651,50052.73,77,82295.1,1098,33,f,76.661,united state of america,Married,39
rec-0068-dup-1,,jena,gazkin,2615,brijbane,03 4426 7858,4024 0071 872 4651,50052.73,77,82295.1,109,33,f,76.661,united state of america,Married,39
rec-0068-org,female,jenna,gaskin,2615,brisbane,03 4426 7858,4024 0071 8724 4651,50052.73,77,82295.1,109,33,f,76.661,united state of america,Married,39
rec-0069-org,female,amy,white,2602,brisbane,04 6141 1354,6011 0713 3433 4617,50927.24,110,98348.6,43,21,m,73.746,Australia,Single,18
rec-0070-org,male,lily,noble,2617,melbourne,04 2904 5661,4024 0071 8129 6178,49224.67,61,26987.5,10,36,m,79.479,united state of america,Single,24
rec-0071-org,male,olivia,bissett,2611,sydney,04 3142 2212,4532 5863 4926 7168,34331.55,42,74949.0,83,43,m,69.151,japan,Married,38
rec-0072-dup-0,,sessica,vroud,2602,melbourn,07 5745 5470,5523 8789 9041 2823,30684.70,109,50374.4,20,51,na,71.739,united state of america,Married,74
rec-0072-org,male,jessica,froud,2603,melbourne,07 5745 5470,5523 8789 9041 2823,30684.70,109,50374.4,20,51,na,71.739,united state of america,Married,74
rec-0073-dup-0,,aoisa,sthrowder,2602,stydney,08 0956 9246,5297 0097 5716 24944,46271.41,4,56854.4,34,51,m,74.874,japan,Single,51
rec-0073-dup-1,,alista,shrowder,2603,,08 0956 9246,5297 0097 55716 4944,46271.41,4,56854.4,34,51,m,74.874,japan,Single,51
rec-0073-org,male,alisa,shrowder,2602,sydney,08 0956 9246,5297 0097 5716 4944,46271.41,4,56854.4,34,51,m,74.874,japan,Single,51
rec-0074-org,male,charlotte,quinzi,2617,sydney,03 7256 8278,4024 0071 4756 3109,78655.18,76,62535.4,63,36,f,76.806,united state of america,Single,27
rec-0075-dup-0,,apbey,smithson,2606,perth,08 1762 1304,4929 6395 460 0909,9327.11,115,151188.7,0,36,f,72.511,united state of america,Married,8
rec-0075-org,female,abbey,smithson,2605,perth,08 1762 1304,4929 6395 4160 0909,9327.11,115,151188.7,40,36,f,72.511,united state of america,Married,8
rec-0076-dup-0,,xeree,needham,2615,melbourn,,3536 5056 8141 0184,56071.52,35,73095.1,94,66,m,70.002,united state of america,Married,7
rec-0076-org,male,cheree,needham,2615,melbourne,07 2734 0219,3536 5056 8141 0184,56071.52,35,73095.1,49,66,m,70.002,united state of america,Married,7
rec-0077-org,male,kira,berry,2602,sydney,08 9874 7336,5556 2274 2573 2340,83250.88,31,93684.7,98,20,m,78.807,Australia,Single,65
rec-0078-org,male,shantal,quill,2605,sydney,08 8214 8449,5168 4082 8446 2076,77554.41,91,36007.6,56,93,f,70.078,united state of america,Widowed,35
rec-0079-org,male,madeleine,ryan,2614,sydney,02 1370 0773,4042 4087 4422 5399,31737.93,21,15243.0,105,19,f,76.506,united state of america,Single,34
rec-0080-dup-0,,rupy,millaah,2613,canberra,04 4214 4774,3538 0510 2204 7425,83031.59,60,130057.1,879,87,na,78.826,Australia,Single,51
rec-0080-dup-1,male,rvby,millaah,261e,canbeahra,04 4214 4774,3538 0510 2204 67425,83031.59,60,130057.1,79,87,na,78.826,Australia,Single,51
rec-0080-org,male,ruby,millar,2614,canberra,04 4214 4774,3538 0510 2204 7425,83031.59,60,130057.1,79,87,na,78.826,Australia,Single,51
rec-0081-dup-0,male,ema,g0dfrey,2622,sydney,,6011 9606 1301 51674,22672.54,73,133772.5,25,43,f,83.086,japan,Divorced,57
rec-0081-org,male,emma,godfrey,2612,sydney,03 1859 7374,6011 9606 1301 1674,22672.54,73,133772.5,25,43,f,83.086,japan,Divorced,57
rec-0082-org,male,finn,ryan,2905,melbourne,02 0839 8878,4539 9043 5991 2578,44990.37,113,23970.2,63,70,na,70.662,united state of america,Widowed,53
rec-0083-org,male,tiffany,papageorgiou,2605,perth,08 7422 3458,4556 8051 7710 2763,81104.16,43,35973.0,83,60,na,73.591,japan,Married,46
rec-0084-dup-0,female,caitlih,berrie,2612,brisbaje,,5251 5600 4131 0663,33084.01,14,193166.6,97,60,f,73.877,united state of america,Married,75
rec-0084-dup-1,,kaitlin,berrie,2612,brisbane,,5251 560 4131 0663,33084.01,14,193166.6,94,60,f,73.877,united state of america,Married,75
rec-0084-dup-2,,caidlin,berri,26q2,brisbane,07 2505 2474,5251 5600 4131 0663,33084.01,14,193166.6,90,60,f,73.877,united state of america,Married,75
rec-0084-org,female,caitlin,berry,2612,brisbane,07 2505 2474,5251 5600 4131 0663,33084.01,14,193166.6,94,60,f,73.877,united state of america,Married,75
rec-0085-dup-0,male,charlote,osimo,26o0,jydney,,4556 7866 2900 2761,53777.56,18,118574.1,77,19,na,74.063,Australia,Single,43
rec-0085-dup-1,,charlotte,osimo,26o0,,07 4066 3466,4556 78662 2900 2761,53777.56,18,118574.1,77,19,na,74.063,Australia,Single,43
rec-0085-org,male,charlotte,ozimo,2600,sydney,07 4066 3466,4556 7866 2900 2761,53777.56,18,118574.1,77,19,na,74.063,Australia,Single,43
rec-0086-dup-0,male,jessika,claahke,261r,,02 0522 4930,4556 60016 5986 9414,44074.90,105,90609.7,50,55,na,81.169,united state of america,Divorced,27
rec-0086-dup-1,,jesgica,clarkd,2614,sydneu,02 0522 4930,4556 0016 05986 9414,44074.90,105,90609.7,50,55,na,81.169,united state of america,Divorced,27
rec-0086-org,male,jessica,clarke,2614,sydney,02 0522 4930,4556 0016 5986 9414,44074.90,105,90609.7,50,55,na,81.169,united state of america,Divorced,27
rec-0087-org,female,isabella,mccarthy,2905,sydney,03 3098 4210,4532 3068 8399 7660,18580.43,85,10335.2,66,67,na,75.505,united state of america,Married,10
rec-0088-dup-0,,ema,donellon,2604,sydney,07 0746 2222,513 2990 2136 2333,54802.46,77,49678.4,88,27,f,72.496,united state of america,Single,16
rec-0088-org,female,emma,donnellon,2603,sydney,07 0746 2222,5137 2990 2136 2333,54802.46,77,49678.4,88,27,f,72.496,united state of america,Single,16
rec-0089-org,male,meg,kiernan,2600,melbourne,04 6753 0798,4024 0071 4671 5106,26618.23,16,74954.5,19,49,na,69.823,united state of america,Married,6
rec-0090-org,female,isabella,lowe,2615,sydney,04 0480 4791,4376 5673 0777 0350,84351.98,25,267969.1,31,64,f,79.239,Australia,Married,19
rec-0091-org,male,ebony,neville,2904,sydney,04 6251 1382,6011 4419 4158 7222,48794.12,85,69583.5,12,41,m,81.253,Australia,Divorced,18
rec-0092-dup-0,male,ro1>erta,roxburhh,2600,melbourne,,5200 6809 40608 0134,29674.67,24,64258.6,2,67,f,69.279,united state of america,Married,46
rec-0092-dup-1,male,robetra,roxburkh,2600,melbourne,,5200 6809 4008 01234,29674.67,24,64258.6,6,67,f,69.279,united state of america,Married,46
rec-0092-org,male,roberta,roxburgh,2600,melbourne,07 9231 4817,5200 6809 4008 0134,29674.67,24,64258.6,62,67,f,69.279,united state of america,Married,46
rec-0093-dup-0,,chljoe,ebdell,2600,sydney,,35819 2466 5601 9155,58854.67,13,69732.3,01,23,f,73.434,Australia,Seperated,63
rec-0093-org,female,chloe,ebdell,2600,sydney,03 4256 2542,3581 2466 5601 9155,58854.67,13,69732.3,101,23,f,73.434,Australia,Seperated,63
rec-0094-org,female,isabella,britten,2602,perth,08 1436 8762,5400 0625 0948 7943,30456.50,56,27079.1,95,42,f,80.616,united state of america,Single,25
rec-0095-dup-0,male,gabrielle,doh5e,2996,sydney,,5269 3553 12177 7503,48524.59,94,87504.9,01,77,m,84.090,India,Married,8
rec-0095-org,male,gabrielle,dohse,2906,sydney,04 5498 5502,5269 3553 2177 7503,48524.59,94,87504.9,10,77,m,84.090,India,Married,8
rec-0096-org,male,jayme,miles,2902,melbourne,04 6167 3576,5363 2021 6940 3047,35818.89,81,64757.0,39,66,m,72.290,Australia,Divorced,23
rec-0097-dup-0,,kacqueline,sparm,missing,sydne7,07 1356 5608,4929 6150 6962 7102,37640.79,78,29396.2,103,47,na,75.090,India,Married,62
rec-0097-org,female,jacqueline,spark,2615,sydney,07 1356 5608,4929 6150 6962 7102,37640.79,78,29396.2,103,47,na,75.090,India,Married,62
rec-0098-dup-0,male,aldxandra,tims,missing,melbourn,,4024 0071 0316 407,21745.61,80,35838.8,59,69,na,68.306,japan,Married,54
rec-0098-org,male,alexandra,tims,2617,melbourne,02 9225 4060,4024 0071 0316 3407,21745.61,80,35838.8,59,69,na,68.306,japan,Married,54
rec-0099-org,male,alessandra,kakko,2617,sydney,04 0629 6416,5226 4016 2089 4649,9294.01,87,98883.1,76,56,m,82.962,India,Married,62
rec-0100-dup-0,,madizon,marris,260y,melbourne,,4539 11913 4248 6973,56749.76,37,31495.8,96,61,m,70.459,united state of america,Married,4
rec-0100-org,male,madison,marris,2606,melbourne,02 1382 1738,4539 1913 4248 6973,56749.76,37,31495.8,96,61,m,70.459,united state of america,Married,4
rec-0101-dup-0,,geoahgia,thoahpe,2611,melbpurne,,4219 3823 2856 2427,65228.27,116,24315.0,35,23,f,73.335,united state of america,Single,43
rec-0101-org,male,georgia,thorpe,2611,melbourne,04 9547 1337,4219 3823 2856 2427,65228.27,116,24315.0,35,23,f,73.335,united state of america,Single,43
rec-0102-dup-0,,emiili,linell,2607,melbourne,,5490 3134 91883 3586,71389.31,29,67980.1,74,45,f,75.751,japan,Married,34
rec-0102-org,male,emiily,linnell,2607,melbourne,08 8901 1315,5490 3134 9188 3586,71389.31,29,67980.1,74,45,f,75.751,japan,Married,34
rec-0103-dup-0,,makenziae,cocrane,2905,perth,,4539 9357 610 2344,17417.46,51,89392.5,85,25,m,72.924,japan,Married,8
rec-0103-org,female,makenzie,cochrane,2905,perth,03 5674 9929,4539 9357 6810 2344,17417.46,51,89392.5,85,25,m,72.924,japan,Married,8
rec-0104-dup-0,,matison,heahbert,2621,sydney,04 8930 6938,4024 0071 6650 6187,15298.34,97,98331.3,92,66,na,77.884,Australia,Single,7
